Rank,Summit,Country,"Elevation, m","Prom., m",Lat,Lon
1,Mt. Everest,Nepal/Tibet,8848,8848,27.98333333,86.91666667
2,Aconcagua,Argentina,6962,6962,-32.65,-70.01666667
3,Mt. McKinley (Denali),US,6194,6138,63.1,-151.05
4,Kilimanjaro,Tanzania,5895,5885,-3.066666667,37.35
5,Cristobal Colon,Colombia,5700,5509,10.83333333,-73.68333333
6,Mt. Logan,Canada,5959,5250,60.56666667,-140.4
7,Pico de Orizaba (Citlaltepetl),Mexico,5636,4922,19.03333333,-97.26666667
8,Vinson Massif,Antarctica,4892,4892,-78.51666667,-85.6
9,Puncak Jaya,Indonesia,4884,4884,-4.066666667,137.1833333
10,Gora Elbrus,Russia,5642,4741,43.35,42.43333333
11,Mont Blanc,France/Italy,4809,4696,45.83333333,6.866666667
12,Damavand,Iran,5610,4667,35.95,52.11666667
13,Klyuchevskaya Volcano,Russia,4750,4649,56.05,160.65
14,Nanga Parbat,Pakistan,8125,4608,35.23333333,74.6
15,Mauna Kea,US,4205,4205,19.81666667,-155.4666667
16,Jengish Chokusu (ex. Pik Pobedy),Kyrgyzstan/China,7439,4148,42.03333333,80.11666667
17,Chimborazo,Ecuador,6267,4122,-1.466666667,-78.81666667
18,Bogda Shan,China,5445,4122,43.8,88.33333333
19,Namcha Barwa,China,7782,4106,29.63333333,95.05
20,Kinabalu,Malaysia,4095,4095,6.066666667,116.5666667
